[2025-04-14 14:45:13,942]20 root - INFO - Initiate the daya ingestion
[2025-04-14 14:45:22,668]65 root - INFO - Performed train-test split.
[2025-04-14 14:45:22,668]67 root - INFO - Exited split_data_as_train_test method of DataIngestion class.
[2025-04-14 14:45:22,668]72 root - INFO - Exporting train and test file paths.
[2025-04-14 14:45:22,768]81 root - INFO - Exported train and test file paths.
[2025-04-14 14:45:22,768]22 root - INFO - Data Ingestion Completed
[2025-04-14 14:45:22,805]26 root - INFO - Initiate the data validation 
[2025-04-14 14:45:22,944]32 root - INFO - Required number of columns:2
[2025-04-14 14:45:22,947]33 root - INFO - Data frame has columns:31
[2025-04-14 14:45:22,947]32 root - INFO - Required number of columns:2
[2025-04-14 14:45:22,947]33 root - INFO - Data frame has columns:31
[2025-04-14 14:45:23,242]28 root - INFO -  data validation completed
[2025-04-14 14:45:23,242]31 root - INFO - data Transformation started
[2025-04-14 14:45:23,242]53 root - INFO - Entered initiate_data_transformation method of DataTraansformation class
[2025-04-14 14:45:23,242]55 root - INFO - Starting data transformation
[2025-04-14 14:45:23,288]39 root - INFO - Entered get_data_transformer_object method of Transformation class
[2025-04-14 14:45:23,288]44 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-04-14 14:45:23,314]51 root - INFO - Entered the savwe_object method of MainUtils class
[2025-04-14 14:45:23,319]55 root - INFO - Exited the save_object method of MainUtils class
[2025-04-14 14:45:23,319]89 root - INFO - Data Transformation artifact created
[2025-04-14 14:45:23,319]35 root - INFO - data Transformation completed
[2025-04-14 14:45:23,319]37 root - INFO - Model Training started
[2025-04-14 14:56:41,450]51 root - INFO - Entered the savwe_object method of MainUtils class
[2025-04-14 14:56:41,556]55 root - INFO - Exited the save_object method of MainUtils class
[2025-04-14 14:56:41,556]111 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\04_14_2025_14_45_10\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9924827305973182, precision_score=0.9922811293926468, recall_score=0.9926844137370453), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9718423169750603, precision_score=0.9664, recall_score=0.9773462783171522))
[2025-04-14 14:56:41,560]42 root - INFO - Model Training artifact created
