[2025-04-11 17:04:59,273]20 root - INFO - Initiate the daya ingestion
[2025-04-11 17:05:09,900]65 root - INFO - Performed train-test split.
[2025-04-11 17:05:09,900]67 root - INFO - Exited split_data_as_train_test method of DataIngestion class.
[2025-04-11 17:05:09,901]72 root - INFO - Exporting train and test file paths.
[2025-04-11 17:05:09,969]81 root - INFO - Exported train and test file paths.
[2025-04-11 17:05:09,971]22 root - INFO - Data Ingestion Completed
[2025-04-11 17:05:09,979]26 root - INFO - Initiate the data validation 
[2025-04-11 17:05:10,072]32 root - INFO - Required number of columns:2
[2025-04-11 17:05:10,072]33 root - INFO - Data frame has columns:31
[2025-04-11 17:05:10,072]32 root - INFO - Required number of columns:2
[2025-04-11 17:05:10,072]33 root - INFO - Data frame has columns:31
[2025-04-11 17:05:10,279]28 root - INFO -  data validation completed
[2025-04-11 17:05:10,279]31 root - INFO - data Transformation started
[2025-04-11 17:05:10,279]53 root - INFO - Entered initiate_data_transformation method of DataTraansformation class
[2025-04-11 17:05:10,280]55 root - INFO - Starting data transformation
[2025-04-11 17:05:10,338]39 root - INFO - Entered get_data_transformer_object method of Transformation class
[2025-04-11 17:05:10,338]44 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-04-11 17:05:10,363]51 root - INFO - Entered the savwe_object method of MainUtils class
[2025-04-11 17:05:10,368]55 root - INFO - Exited the save_object method of MainUtils class
[2025-04-11 17:05:10,368]89 root - INFO - Data Transformation artifact created
[2025-04-11 17:05:10,371]35 root - INFO - data Transformation completed
[2025-04-11 17:05:10,371]37 root - INFO - Model Training started
