[2025-04-09 16:50:15,468]20 root - INFO - Initiate the daya ingestion
[2025-04-09 16:50:24,913]65 root - INFO - Performed train-test split.
[2025-04-09 16:50:24,913]67 root - INFO - Exited split_data_as_train_test method of DataIngestion class.
[2025-04-09 16:50:24,914]72 root - INFO - Exporting train and test file paths.
[2025-04-09 16:50:24,998]81 root - INFO - Exported train and test file paths.
[2025-04-09 16:50:24,999]22 root - INFO - Data Ingestion Completed
[2025-04-09 16:50:25,009]26 root - INFO - Initiate the data validation 
[2025-04-09 16:50:25,126]32 root - INFO - Required number of columns:2
[2025-04-09 16:50:25,129]33 root - INFO - Data frame has columns:31
[2025-04-09 16:50:25,129]32 root - INFO - Required number of columns:2
[2025-04-09 16:50:25,129]33 root - INFO - Data frame has columns:31
[2025-04-09 16:50:25,298]28 root - INFO -  data validation completed
[2025-04-09 16:50:25,299]31 root - INFO - data Transformation started
[2025-04-09 16:50:25,299]53 root - INFO - Entered initiate_data_transformation method of DataTraansformation class
[2025-04-09 16:50:25,299]55 root - INFO - Starting data transformation
[2025-04-09 16:50:25,333]39 root - INFO - Entered get_data_transformer_object method of Transformation class
[2025-04-09 16:50:25,333]44 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-04-09 16:50:25,358]48 root - INFO - Entered the savwe_object method of MainUtils class
[2025-04-09 16:50:25,363]52 root - INFO - Exited the save_object method of MainUtils class
[2025-04-09 16:50:25,364]89 root - INFO - Data Transformation artifact created
[2025-04-09 16:50:25,366]35 root - INFO - data Transformation completed
[2025-04-09 16:50:25,366]37 root - INFO - Model Training started
