[2025-04-14 14:33:28,668]20 root - INFO - Initiate the daya ingestion
[2025-04-14 14:33:42,080]65 root - INFO - Performed train-test split.
[2025-04-14 14:33:42,080]67 root - INFO - Exited split_data_as_train_test method of DataIngestion class.
[2025-04-14 14:33:42,081]72 root - INFO - Exporting train and test file paths.
[2025-04-14 14:33:42,143]81 root - INFO - Exported train and test file paths.
[2025-04-14 14:33:42,144]22 root - INFO - Data Ingestion Completed
[2025-04-14 14:33:42,172]26 root - INFO - Initiate the data validation 
[2025-04-14 14:33:42,297]32 root - INFO - Required number of columns:2
[2025-04-14 14:33:42,298]33 root - INFO - Data frame has columns:31
[2025-04-14 14:33:42,298]32 root - INFO - Required number of columns:2
[2025-04-14 14:33:42,298]33 root - INFO - Data frame has columns:31
[2025-04-14 14:33:42,528]28 root - INFO -  data validation completed
[2025-04-14 14:33:42,529]31 root - INFO - data Transformation started
[2025-04-14 14:33:42,529]53 root - INFO - Entered initiate_data_transformation method of DataTraansformation class
[2025-04-14 14:33:42,529]55 root - INFO - Starting data transformation
[2025-04-14 14:33:42,566]39 root - INFO - Entered get_data_transformer_object method of Transformation class
[2025-04-14 14:33:42,567]44 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-04-14 14:33:42,587]51 root - INFO - Entered the savwe_object method of MainUtils class
[2025-04-14 14:33:42,592]55 root - INFO - Exited the save_object method of MainUtils class
[2025-04-14 14:33:42,593]89 root - INFO - Data Transformation artifact created
[2025-04-14 14:33:42,595]35 root - INFO - data Transformation completed
[2025-04-14 14:33:42,595]37 root - INFO - Model Training started
